t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
165.34,26,1,1,0,98.1528,0.615888,0.088901971,23,0
165.36,26,1,1,0,98.1508,0.615968,0.145133902,23,0
165.38,26,1,1,0,98.1488,0.616048,0.114944479,23.35483849,0
165.4,26,1,1,0,98.1468,0.616128,0.103025853,23.99999692,0
165.42,26,1,1,0,98.1448,0.616208,0.105923081,24,0
165.44,26,1,1,0,98.1428,0.616288,0.115946095,21.66668002,0
165.46,26,1,1,0,98.1408,0.616368,0.184464995,17.0000089,0
165.48,26,1,1,0,98.1388,0.616448,0.101884871,20.99999619,0
165.5,26,1,1,0,98.1368,0.616528,0.190497306,23.33333333,0
165.52,26,1,1,0,98.1348,0.616608,0.154974071,24,0
165.54,26,1,1,0,98.1328,0.616688,0.085104067,24,0
165.56,26,1,1,0,98.1308,0.616768,0.16992615,23.66666476,0
165.58,26,1,1,0,98.1288,0.616848,0.22770336,23,0
165.6,26,1,1,0,98.1268,0.616928,0.17126128,23,0
165.62,26,1,1,0,98.1248,0.617008,0.203769837,23,0
165.64,26,1,1,0,98.1228,0.617088,0.220249772,23,0
165.66,26,1,1,0,98.1208,0.617168,0.112690301,35.03332427,0
165.68,26,1,1,0,98.1188,0.617248,0.094223201,36.29999698,0
165.7,26,1,1,0,98.1168,0.617328,0.092162904,23.63331823,0
165.72,26,1,1,0,98.1148,0.617408,0.136224017,23.63333476,0
165.74,26,1,1,0,98.1128,0.617488,0.220610476,23.69999793,0
165.76,26,1,1,0,98.1108,0.617568,0.401163213,23.03333063,0
165.78,26,1,1,0,98.1088,0.617648,0.200511785,23,0
165.8,26,1,1,0,98.1068,0.617728,0.158537451,23,0
165.82,26,1,1,0,98.1048,0.617808,0.187150462,23,0
165.84,26,1,1,0,98.1028,0.617888,0.083678733,19.83334684,0
165.86,26,1,1,0,98.1008,0.617968,0.045021734,19.49998967,0
165.88,26,1,1,0,98.09760718,0.617964108,0.146069079,22.83332618,0
165.9,26,1,1,0,98.09361914,0.617904287,0.124037184,23,0
165.92,26,1,1,0,98.0896311,0.617844467,0.159341985,23.29999984,0
165.94,26,1,1,0,98.08564307,0.617784646,0.10745713,23.96666714,0
165.96,26,1,1,0,98.08165503,0.617724825,0.206421285,23.36666555,0
165.98,26,1,1,0,98.077667,0.617665005,0.316336813,23,0
166,26,1,1,0,98.07367896,0.617605184,0.106720707,23,0
166.02,26,1,1,0,98.06969092,0.617545364,0.132452489,23.59999746,0
166.04,26,1,1,0,98.06570289,0.617485543,0.081758272,22.13334668,0
166.06,26,1,1,0,98.06171485,0.617425723,0.22735295,17.46667557,0
166.08,26,1,1,0,98.05772682,0.617365902,0.162254907,21.19999555,0
